respect,achten
to offer,anbieten
to change,ändern
show,anzeigen
build up,aufbauen
record,aufnehmen
to build,bauen
note,beachten
mean,bedeuten
to be located,befinden
start,beginnen
accompany,begleiten
to treat,behandeln
to get,bekommen
need,benötigen
to use,benutzen
to report,berichten
employ,beschäftigen
describe,beschreiben
have,besitzen
to confirm,bestätigen
consist,bestehen
to order,bestellen
determine,bestimmen
visit,besuchen
be,betragen
affect,betreffen
operate,betreiben
move,bewegen
describe,bezeichnen
obtain,beziehen
offer,bieten
form,bilden
ask,bitten
stay,bleiben
need,brauchen
bring,bringen
represent,darstellen
think,denken
to serve,dienen
to discuss,diskutieren
carry out,durchführen
allowed to,dürfen
suitable,eignen
deploy,einsetzen
recommend,empfehlen
discover,entdecken
remove,entfernen
contain,enthalten
decide,entscheiden
correspond,entsprechen
arise,entstehen
develop,entwickeln
experience,erfahren
occur,erfolgen
fulfill,erfüllen
surrender,ergeben
receive,erhalten
increase,erhöhen
recall,erinnern
detect,erkennen
to explain,erklären
allow,erlauben
experience,erleben
enable,ermöglichen
to reach,erreichen
appear,erscheinen
create,erstellen
expect,erwarten
tell,erzählen
drive,fahren
fall,fallen
absence,fehlen
to celebrate,feiern
find,finden
consequences,folgen
demand,fordern
promote,fördern
ask,fragen
looking forward,freuen
feel,fühlen
to lead,führen
function,funktionieren
give,geben
walk,gehen
belong,gehören
success,gelingen
be valid,gelten
enjoy,genießen
happen,geschehen
shape,gestalten
win,gewinnen
believe,glauben
establish,gründen
hold,halten
act,handeln
be called,heißen
help,helfen
produce,herstellen
to hope,hoffen
listen,hören
to inform,informieren
to buy,kaufen
know,kennen
come,kommen
costs,kosten
load,laden
to let,lassen
to run,laufen
Life,leben
lay,legen
Afford,leisten
learn,lernen
read,lesen
love,lieben
deliver,liefern
lie,liegen
to solve,lösen
do,machen
say,meinen
Report,melden
to like,mögen
have to,müssen
to take,nehmen
call,nennen
use,nutzen
to open,öffnen
fit,passen
happen,passieren
to plan,planen
pass,reichen
judge,richten
call,rufen
say,sagen
collect,sammeln
create,schaffen
watch,schauen
seem to be,scheinen
beat,schlagen
conclude,schließen
protect,schützen
see,sehen
put,setzen
to back up,sichern
sit,sitzen
should,sollen
to care,sorgen
save up,sparen
play,spielen
speak,sprechen
start,starten
occur,stattfinden
stand,stehen
climb,steigen
put,stellen
search,suchen
share,teilen
carry,tragen
to meet,treffen
to step,treten
to do,tun
take over,übernehmen
convince,überzeugen
implement,umsetzen
support,unterstützen
change,verändern
improve,verbessern
connect,verbinden
feature,verfügen
to forget,vergessen
to sell,verkaufen
leave,verlassen
to lose,verlieren
convey,vermitteln
publish,veröffentlichen
understand,verstehen
to attempt,versuchen
represented,vertreten
use,verwenden
imagine,vorstellen
to grow,wachsen
choose,wählen
waiting,warten
point,weisen
will,werden
Act,wirken
knowledge,wissen
want,wollen
to wish,wünschen
counting,zählen
numbers,zahlen
demonstrate,zeigen
pull,ziehen